BenchmarkName,Compiler,Optimization,Backend,Adapter,Ioq,NumKernels,KernelExecTime,MeasureCompletion,MedianTime
SubmitKernel,acpp,O2,sycl,NA,0,50,1,0,48.720
SubmitKernel,acpp,O2,sycl,NA,0,50,1,1,280.952
SubmitKernel,acpp,O2,sycl,NA,0,50,5,1,280.261
SubmitKernel,acpp,O2,sycl,NA,0,50,10,1,284.631
SubmitKernel,acpp,O2,sycl,NA,0,50,100,1,318.528
SubmitKernel,acpp,O2,sycl,NA,1,50,1,0,52.455
SubmitKernel,acpp,O2,sycl,NA,1,50,1,1,232.050
SubmitKernel,acpp,O2,sycl,NA,1,50,5,1,230.535
SubmitKernel,acpp,O2,sycl,NA,1,50,10,1,232.320
SubmitKernel,acpp,O2,sycl,NA,1,50,100,1,260.424
SubmitKernel,acpp,O2,sycl,NA,0,100,1,0,82.801
SubmitKernel,acpp,O2,sycl,NA,0,100,1,1,583.276
SubmitKernel,acpp,O2,sycl,NA,0,100,5,1,570.871
SubmitKernel,acpp,O2,sycl,NA,0,100,10,1,583.409
SubmitKernel,acpp,O2,sycl,NA,0,100,100,1,602.456
SubmitKernel,acpp,O2,sycl,NA,1,100,1,0,102.518
SubmitKernel,acpp,O2,sycl,NA,1,100,1,1,478.303
SubmitKernel,acpp,O2,sycl,NA,1,100,5,1,475.681
SubmitKernel,acpp,O2,sycl,NA,1,100,10,1,478.956
SubmitKernel,acpp,O2,sycl,NA,1,100,100,1,509.189
SubmitKernel,acpp,O0,sycl,NA,0,1,1,0,3.226
SubmitKernel,acpp,O0,sycl,NA,0,1,1,1,15.578
SubmitKernel,acpp,O0,sycl,NA,0,1,5,1,15.608
SubmitKernel,acpp,O0,sycl,NA,0,1,10,1,17.129
SubmitKernel,acpp,O0,sycl,NA,0,1,100,1,48.707
SubmitKernel,acpp,O0,sycl,NA,1,1,1,0,3.675
SubmitKernel,acpp,O0,sycl,NA,1,1,1,1,15.625
SubmitKernel,acpp,O0,sycl,NA,1,1,5,1,15.620
SubmitKernel,acpp,O0,sycl,NA,1,1,10,1,17.098
SubmitKernel,acpp,O0,sycl,NA,1,1,100,1,45.579
SubmitKernel,acpp,O0,sycl,NA,0,10,1,0,31.957
SubmitKernel,acpp,O0,sycl,NA,0,10,1,1,60.495
SubmitKernel,acpp,O0,sycl,NA,0,10,5,1,59.809
SubmitKernel,acpp,O0,sycl,NA,0,10,10,1,61.380
SubmitKernel,acpp,O0,sycl,NA,0,10,100,1,91.563
SubmitKernel,acpp,O0,sycl,NA,1,10,1,0,32.733
SubmitKernel,acpp,O0,sycl,NA,1,10,1,1,54.624
SubmitKernel,acpp,O0,sycl,NA,1,10,5,1,53.779
SubmitKernel,acpp,O0,sycl,NA,1,10,10,1,54.991
SubmitKernel,acpp,O0,sycl,NA,1,10,100,1,80.891
SubmitKernel,acpp,O0,sycl,NA,0,20,1,0,60.968
SubmitKernel,acpp,O0,sycl,NA,0,20,1,1,102.155
SubmitKernel,acpp,O0,sycl,NA,0,20,5,1,101.461
SubmitKernel,acpp,O0,sycl,NA,0,20,10,1,101.835
SubmitKernel,acpp,O0,sycl,NA,0,20,100,1,141.099
SubmitKernel,acpp,O0,sycl,NA,1,20,1,0,64.581
SubmitKernel,acpp,O0,sycl,NA,1,20,1,1,93.488
SubmitKernel,acpp,O0,sycl,NA,1,20,5,1,93.731
SubmitKernel,acpp,O0,sycl,NA,1,20,10,1,95.438
SubmitKernel,acpp,O0,sycl,NA,1,20,100,1,130.697
SubmitKernel,acpp,O0,sycl,NA,0,50,1,0,150.139
SubmitKernel,acpp,O0,sycl,NA,0,50,1,1,247.135
SubmitKernel,acpp,O0,sycl,NA,0,50,5,1,246.934
SubmitKernel,acpp,O0,sycl,NA,0,50,10,1,250.527
SubmitKernel,acpp,O0,sycl,NA,0,50,100,1,291.828
SubmitKernel,acpp,O0,sycl,NA,1,50,1,0,155.856
SubmitKernel,acpp,O0,sycl,NA,1,50,1,1,230.714
SubmitKernel,acpp,O0,sycl,NA,1,50,5,1,229.710
SubmitKernel,acpp,O0,sycl,NA,1,50,10,1,228.072
SubmitKernel,acpp,O0,sycl,NA,1,50,100,1,264.322
SubmitKernel,acpp,O0,sycl,NA,0,100,1,0,292.983
SubmitKernel,acpp,O0,sycl,NA,0,100,1,1,503.895
SubmitKernel,acpp,O0,sycl,NA,0,100,5,1,514.236
SubmitKernel,acpp,O0,sycl,NA,0,100,10,1,516.695
SubmitKernel,acpp,O0,sycl,NA,0,100,100,1,525.947
SubmitKernel,acpp,O0,sycl,NA,1,100,1,0,315.550
SubmitKernel,acpp,O0,sycl,NA,1,100,1,1,496.050
SubmitKernel,acpp,O0,sycl,NA,1,100,5,1,496.856
SubmitKernel,acpp,O0,sycl,NA,1,100,10,1,492.311
SubmitKernel,acpp,O0,sycl,NA,1,100,100,1,514.264
SubmitKernel,acpp,pvc,l0,NA,0,1,1,0,1.860
SubmitKernel,acpp,pvc,l0,NA,0,1,1,1,5.388
SubmitKernel,acpp,pvc,l0,NA,0,1,5,1,7.050
SubmitKernel,acpp,pvc,l0,NA,0,1,10,1,8.413
SubmitKernel,acpp,pvc,l0,NA,0,1,100,1,36.662
SubmitKernel,acpp,pvc,l0,NA,1,1,1,0,1.941
SubmitKernel,acpp,pvc,l0,NA,1,1,1,1,4.928
SubmitKernel,acpp,pvc,l0,NA,1,1,5,1,6.254
SubmitKernel,acpp,pvc,l0,NA,1,1,10,1,7.778
SubmitKernel,acpp,pvc,l0,NA,1,1,100,1,39.636
SubmitKernel,acpp,pvc,l0,NA,0,10,1,0,18.605
SubmitKernel,acpp,pvc,l0,NA,0,10,1,1,21.971
SubmitKernel,acpp,pvc,l0,NA,0,10,5,1,23.813
SubmitKernel,acpp,pvc,l0,NA,0,10,10,1,25.187
SubmitKernel,acpp,pvc,l0,NA,0,10,100,1,59.182
SubmitKernel,acpp,pvc,l0,NA,1,10,1,0,18.406
SubmitKernel,acpp,pvc,l0,NA,1,10,1,1,21.471
SubmitKernel,acpp,pvc,l0,NA,1,10,5,1,36.176
SubmitKernel,acpp,pvc,l0,NA,1,10,10,1,50.493
SubmitKernel,acpp,pvc,l0,NA,1,10,100,1,359.395
SubmitKernel,acpp,pvc,l0,NA,0,20,1,0,36.457
SubmitKernel,acpp,pvc,l0,NA,0,20,1,1,40.629
SubmitKernel,acpp,pvc,l0,NA,0,20,5,1,42.228
SubmitKernel,acpp,pvc,l0,NA,0,20,10,1,44.120
SubmitKernel,acpp,pvc,l0,NA,0,20,100,1,77.876
SubmitKernel,acpp,pvc,l0,NA,1,20,1,0,37.336
SubmitKernel,acpp,pvc,l0,NA,1,20,1,1,40.488
SubmitKernel,acpp,pvc,l0,NA,1,20,5,1,64.040
SubmitKernel,acpp,pvc,l0,NA,1,20,10,1,99.320
SubmitKernel,acpp,pvc,l0,NA,1,20,100,1,702.030
SubmitKernel,acpp,pvc,l0,NA,0,50,1,0,93.266
SubmitKernel,acpp,pvc,l0,NA,0,50,1,1,97.455
SubmitKernel,acpp,pvc,l0,NA,0,50,5,1,95.154
SubmitKernel,acpp,pvc,l0,NA,0,50,10,1,100.296
SubmitKernel,acpp,pvc,l0,NA,0,50,100,1,139.747
SubmitKernel,acpp,pvc,l0,NA,1,50,1,0,91.655
SubmitKernel,acpp,pvc,l0,NA,1,50,1,1,96.844
SubmitKernel,acpp,pvc,l0,NA,1,50,5,1,159.556
SubmitKernel,acpp,pvc,l0,NA,1,50,10,1,250.294
SubmitKernel,acpp,pvc,l0,NA,1,50,100,1,1745.039
SubmitKernel,acpp,pvc,l0,NA,0,100,1,0,186.408
SubmitKernel,acpp,pvc,l0,NA,0,100,1,1,181.983
SubmitKernel,acpp,pvc,l0,NA,0,100,5,1,188.697
SubmitKernel,acpp,pvc,l0,NA,0,100,10,1,188.367
SubmitKernel,acpp,pvc,l0,NA,0,100,100,1,247.067
SubmitKernel,acpp,pvc,l0,NA,1,100,1,0,188.078
SubmitKernel,acpp,pvc,l0,NA,1,100,1,1,184.393
SubmitKernel,acpp,pvc,l0,NA,1,100,5,1,330.599
SubmitKernel,acpp,pvc,l0,NA,1,100,10,1,472.409
SubmitKernel,acpp,pvc,l0,NA,1,100,100,1,3481.632
